feature_set,model,split,role,threshold_mode,target_recall,train_f1,val_f1,test_f1,train_auc,val_auc,test_auc,test_precision,test_recall,test_fpr,gap_auc_train_test,gap_f1_train_test
baseline,hgb_balanced,split4_realistic,headline_generalization,matched_recall,0.8712977921378567,0.9114439751128665,0.20949051595779117,0.5104051287215118,0.9999600400693798,0.9721661316116614,0.9208717940390869,0.8327537581117713,0.3679689295955282,0.06143756663783218,0.07908824603029285,0.4010388463913547
ebpf,hgb_balanced,split4_realistic,headline_generalization,matched_recall,0.8712977921378567,0.8619267856363716,0.13425157650182543,0.49886685862555974,0.9999830365731476,0.9584701543969865,0.8004803384224983,0.7762322938936824,0.3675373962000863,0.088082640970448,0.19950269815064925,0.36305992701081186
baseline,hgb_balanced,split4_balanced,balanced_support,matched_recall,0.8712977921378567,0.9114439751128665,0.20949051595779117,0.6666666666666666,0.9999600400693798,0.9721661316116614,0.875,1.0,0.5,0.0,0.12496004006937977,0.24477730844619983
ebpf,hgb_balanced,split4_balanced,balanced_support,matched_recall,0.8712977921378567,0.8619267856363716,0.13425157650182543,0.6153846153846154,0.9999830365731476,0.9584701543969865,0.859375,0.8,0.5,0.125,0.14060803657314758,0.24654217025175618
baseline,hgb_balanced,split2_balanced_quota,model_selection_context,matched_recall,0.8712977921378567,0.9355174043156402,0.9295690936106984,0.9243822566239952,0.9993469855008276,0.998369322498216,0.9972031744957446,0.9929645027182603,0.8646616541353384,0.00606227610912097,0.002143811005082985,0.011135147691645031
ebpf,hgb_balanced,split2_balanced_quota,model_selection_context,matched_recall,0.8712977921378567,0.937376151983141,0.9338475229902106,0.9283906505880601,0.9997809636229839,0.9992692818281576,0.9983491842493163,0.9974408189379399,0.8682818156502367,0.002204464039680353,0.0014317793736675632,0.008985501395080808
baseline,hgb_balanced,split3_train_resampled,resampled_training,matched_recall,0.8712977921378567,0.9623944373601521,0.02554435638993614,0.02930556721807037,0.9992709842708334,0.9510500994658305,0.9942706509301449,0.014870680472112149,1.0,0.09312667160764347,0.005000333340688501,0.9330888701420817
ebpf,hgb_balanced,split3_train_resampled,resampled_training,matched_recall,0.8712977921378567,0.9748251407403797,0.05954622903775446,0.06849852796859666,0.9996077573958333,0.9821877602378307,0.998930152641836,0.0354638756223961,1.0,0.03823349337801695,0.0006776047539972518,0.9063266127717831
baseline,hgb_balanced,split1_group_strat,leakage_diagnostic,matched_recall,0.8712977921378567,0.9669575985616137,0.0281207400194742,0.02847004119590488,0.9996337532250531,0.9528266623410757,0.9844787591857341,0.014440582588546838,1.0,0.0959422227950891,0.01515499403931897,0.9384875573657088
ebpf,hgb_balanced,split1_group_strat,leakage_diagnostic,matched_recall,0.8712977921378567,0.979115333689924,0.07812840043525571,0.07915627126332501,0.99976926750088,0.9868737371512609,0.9992582994883809,0.04120911559806353,1.0,0.03270711822898205,0.0005109680124991689,0.899959062426599
